name,valid_from,valid_to,doc_link,id,version,url
Suvestinė nuo 2020-12-18,2020-12-18,2020-12-31,https://www.e-tar.lt/portal/lt/legalAct/TAR.C677663D2202/jmkunKjusu,TAR.C677663D2202,jmkunKjusu,https://www.e-tar.lt/rs/actualedition/TAR.C677663D2202/jmkunKjusu
Suvestinė nuo 2020-07-01,2020-07-01,2020-12-17,https://www.e-tar.lt/portal/lt/legalAct/TAR.C677663D2202/dLdpEiofEX,TAR.C677663D2202,dLdpEiofEX,https://www.e-tar.lt/rs/actualedition/TAR.C677663D2202/dLdpEiofEX
Suvestinė nuo 2020-02-01,2020-02-01,2020-06-30,https://www.e-tar.lt/portal/lt/legalAct/TAR.C677663D2202/oFDIRPBFnA,TAR.C677663D2202,oFDIRPBFnA,https://www.e-tar.lt/rs/actualedition/TAR.C677663D2202/oFDIRPBFnA
Suvestinė nuo 2020-01-01,2020-01-01,2020-01-31,https://www.e-tar.lt/portal/lt/legalAct/TAR.C677663D2202/yXmgEUuvTm,TAR.C677663D2202,yXmgEUuvTm,https://www.e-tar.lt/rs/actualedition/TAR.C677663D2202/yXmgEUuvTm
Suvestinė nuo 2019-04-25,2019-04-25,2019-12-31,https://www.e-tar.lt/portal/lt/legalAct/TAR.C677663D2202/bpmspRzvKx,TAR.C677663D2202,bpmspRzvKx,https://www.e-tar.lt/rs/actualedition/TAR.C677663D2202/bpmspRzvKx
Suvestinė nuo 2019-01-01,2019-01-01,2019-04-24,https://www.e-tar.lt/portal/lt/legalAct/TAR.C677663D2202/LleNQwqrGB,TAR.C677663D2202,LleNQwqrGB,https://www.e-tar.lt/rs/actualedition/TAR.C677663D2202/LleNQwqrGB
Suvestinė nuo 2018-01-01,2018-01-01,2018-12-31,https://www.e-tar.lt/portal/lt/legalAct/TAR.C677663D2202/wVGhEHdaRq,TAR.C677663D2202,wVGhEHdaRq,https://www.e-tar.lt/rs/actualedition/TAR.C677663D2202/wVGhEHdaRq
Suvestinė nuo 2017-07-01,2017-07-01,2017-12-31,https://www.e-tar.lt/portal/lt/legalAct/TAR.C677663D2202/tNkhBKSOmO,TAR.C677663D2202,tNkhBKSOmO,https://www.e-tar.lt/rs/actualedition/TAR.C677663D2202/tNkhBKSOmO
Suvestinė nuo 2017-05-31,2017-05-31,2017-06-30,https://www.e-tar.lt/portal/lt/legalAct/TAR.C677663D2202/mhQbeGuHVT,TAR.C677663D2202,mhQbeGuHVT,https://www.e-tar.lt/rs/actualedition/TAR.C677663D2202/mhQbeGuHVT
Suvestinė nuo 2017-01-01,2017-01-01,2017-05-30,https://www.e-tar.lt/portal/lt/legalAct/TAR.C677663D2202/euiPhfPyoY,TAR.C677663D2202,euiPhfPyoY,https://www.e-tar.lt/rs/actualedition/TAR.C677663D2202/euiPhfPyoY
Suvestinė nuo 2016-01-01,2016-01-01,2016-12-31,https://www.e-tar.lt/portal/lt/legalAct/TAR.C677663D2202/RhdBlVKPJQ,TAR.C677663D2202,RhdBlVKPJQ,https://www.e-tar.lt/rs/actualedition/TAR.C677663D2202/RhdBlVKPJQ
Suvestinė nuo 2015-04-14,2015-04-14,2015-12-31,https://www.e-tar.lt/portal/lt/legalAct/TAR.C677663D2202/ppBHCVttWQ,TAR.C677663D2202,ppBHCVttWQ,https://www.e-tar.lt/rs/actualedition/TAR.C677663D2202/ppBHCVttWQ
Suvestinė nuo 2015-01-01,2015-01-01,2015-04-13,https://www.e-tar.lt/portal/lt/legalAct/TAR.C677663D2202/sRBDDIHIQF,TAR.C677663D2202,sRBDDIHIQF,https://www.e-tar.lt/rs/actualedition/TAR.C677663D2202/sRBDDIHIQF
Suvestinė nuo 2013-12-30,2013-12-30,2014-12-31,https://www.e-tar.lt/portal/lt/legalAct/TAR.C677663D2202/TAIS_464346,TAR.C677663D2202,TAIS_464346,https://www.e-tar.lt/rs/actualedition/TAR.C677663D2202/TAIS_464346
Suvestinė nuo 2013-07-13,2013-07-13,2013-12-29,https://www.e-tar.lt/portal/lt/legalAct/TAR.C677663D2202/TAIS_453677,TAR.C677663D2202,TAIS_453677,https://www.e-tar.lt/rs/actualedition/TAR.C677663D2202/TAIS_453677
Suvestinė nuo 2013-07-13,2013-07-13,2013-07-13,https://www.e-tar.lt/portal/lt/legalAct/TAR.C677663D2202/TAIS_453675,TAR.C677663D2202,TAIS_453675,https://www.e-tar.lt/rs/actualedition/TAR.C677663D2202/TAIS_453675
Suvestinė nuo 2013-05-25,2013-05-25,2013-07-12,https://www.e-tar.lt/portal/lt/legalAct/TAR.C677663D2202/TAIS_449664,TAR.C677663D2202,TAIS_449664,https://www.e-tar.lt/rs/actualedition/TAR.C677663D2202/TAIS_449664
Suvestinė nuo 2013-05-07,2013-05-07,2013-05-24,https://www.e-tar.lt/portal/lt/legalAct/TAR.C677663D2202/TAIS_447828,TAR.C677663D2202,TAIS_447828,https://www.e-tar.lt/rs/actualedition/TAR.C677663D2202/TAIS_447828
Suvestinė nuo 2012-11-24,2012-11-24,2013-05-06,https://www.e-tar.lt/portal/lt/legalAct/TAR.C677663D2202/TAIS_438039,TAR.C677663D2202,TAIS_438039,https://www.e-tar.lt/rs/actualedition/TAR.C677663D2202/TAIS_438039
Suvestinė nuo 2012-07-14,2012-07-14,2012-11-23,https://www.e-tar.lt/portal/lt/legalAct/TAR.C677663D2202/TAIS_430281,TAR.C677663D2202,TAIS_430281,https://www.e-tar.lt/rs/actualedition/TAR.C677663D2202/TAIS_430281
